path	duration	sentence
audio/audio_0117_chunk_0001.flac	5.98	ආයුබෝවන් පුතේ ඔයාලා දෙක තුලයි ඉන්නේ ජෙනරල් ඉංග්ලිෂ් එහෙම නැත්නම් සාමාන්‍ය ඉංග්‍රීසි පන්තියේ
audio/audio_0117_chunk_0002.flac	5.56	හතරවෙනි දවසත් එක්ක මම දන්නවා මාර්තු මාසෙදී අපිට දවස් තුනයි තියන්න පුළුවන් වුනේ
audio/audio_0117_chunk_0003.flac	3.8 	ඒකට එක්ස්ට්‍රා ක්ලාස් එකක් බොහෝ දුරට අවුරුද්දෙන් පස්සේ වැටෙයි
audio/audio_0117_chunk_0004.flac	3.84	ඊට අමතරව ලබන සතියේ ඉරිදා මම හිතන්නේ දහතුන
audio/audio_0117_chunk_0006.flac	11.2	අ පරණ අවුද්දට ඉතින් එදාට ගෙදර ඉන්නේ එදාට නම් ක්ලාස් එකක් නැහැ ඒකටත් අපි එක්ස්ට්‍රා ක්ලාස් එකක් දානවා බොහෝ විට ලබන සතියේ සිකුරාද හෝ බ්‍රහස්පතින්ද වගේ ඇතුළත
audio/audio_0117_chunk_0007.flac	7.39	ඒකෙ විස්තර ටික ලබන අඟහරුවාදා වගේ වෙද්දි හරියටම දාලා ගෘප් එකට දැනුම් දෙන්න ඒකෙ රෙකෝඩින් එක දෙනවා බය වෙන්න දෙයක් නෑ
audio/audio_0117_chunk_0009.flac	15.71	අද අපි කතා කරන්න යන්නේ ඔයගොල්ලන්ගේ ඒ ලෙවල් ජෙනරල් ඉන්ග්ලිෂ් පේපර් එකේ ඒ විතරක් නෙමෙයි මතක නම් ඕ ලෙවල් ඉන්ග්ලිෂ් පේපර්ස් වල ඔයා ඩිප්ලෝමා එකක් කරා නම් ඔයා ඩිග්‍රි එකක් කරන්න බලාපොරොත්තුවෙන් ඉන්නවා නම් ඒ ඕනෑම තැනකදී ඔයාට අවශ්‍ය වෙන දෙයක් ගැන
audio/audio_0117_chunk_0012.flac	4.41	මෙච්චර කල් තමන්ගේ ගුරුව තමන්ගේ ඉස්කෝලේ ගුරුවරයා වෙන්න පුළුවන්
audio/audio_0117_chunk_0015.flac	3.55	මීට කලින් අපි පොඩි කාලේ ඉඳන් අපිට පුරුදු කළේ කොහොමද
audio/audio_0117_chunk_0019.flac	8.44	තුන වසරේදී ඔන්න චුට්ටක් වාක්‍ය එහෙම ලියන්න ඉගැන්නුවා පහ වසර වගේ වෙද්දී වාක්‍ය පහක් ලියන්න පොඩි ඡේදයක් ලියන්න ඒ තරමට ආවා
audio/audio_0117_chunk_0021.flac	7.1 	ඊට පස්සේ ඕක ඩිවලොප් වෙලා ඩිවලොප් වෙලා දහ වසරේට නව වසරට වගේ එද්දි එසේ ලියන තත්වෙකට අපි ආවා
audio/audio_0117_chunk_0023.flac	10.04	අපේ ගුරුවරු මම දන්නේ නැහැ ඔයගොල්ලන්ගේ කියලා දීලා තියද කියලා මගේ ගුරුවරු මට එසේ එක ලියන්නේ මෙහෙමයි පුතේ කියලා පාඩමක් විදිහට උගන්ඩලා නැහැ
audio/audio_0117_chunk_0025.flac	3.45	අපි ඉංග්‍රීසි පේපර් එකට එසේ එක ලිව්වේ කොහොමද කටපාඩම් කරන්නේ
audio/audio_0117_chunk_0026.flac	6.2 	එන් ඒ සී එක සමහර දවසට නිස්ලනේ පේපර්ස් හදන්නේ කලින් කියනවා අපි කලින් ලෑස්ති වෙනවා කටපාඩම් කරලා ගිහිල්ලා ලියනවා
audio/audio_0117_chunk_0029.flac	3.32	ඉස්සෙ එකක් හෝ පැරග්‍රාෆ් එකක් අපි සතියේ පැරග්‍රාෆ් කතා කරා
audio/audio_0117_chunk_0030.flac	3.55	එසේ එකක් වගේ මේ වගේ ඩොකියුමන්ට් එකක් අපිට හදාගන්න බැරි වෙයි
audio/audio_0117_chunk_0032.flac	13.21	මේවට කියනවා ඔෆීෂල් රයිටින් කියලත් සාමාන්‍යයෙන් කියනවා හැබැයි එසේ වගේ නෙමෙයි එසේ එකකින් ඊළඟ ස්ටෙප් එක තමයි මේ ඔෆීෂල් රයිටින් කියන්නේ ඔෆීෂල් ඩොකියුමන්ට්ස් හදන එක ඔයා කවදා හරි කම්පැනියකට ගිහිල්ලා ඒකේ වර්ක් කරද්දි ඔයාට රිපෝර්ට්ස් හදන්න වෙනවා
audio/audio_0117_chunk_0034.flac	11.32	වර්ක් රිපෝට් එකක් හදද්දි ඒක සමරයිස් කරන්න සාරාංශ ගත කරන්න ඊටපස්සේ ඒකෙ අබ්ස්ට්‍රැක්ට්ස් ලියන්න වෙනවා අබ්ස්ට්‍රැක්ට් එකක් කියන්නේ සම්පූර්ණ අයිඩියා එක ගොනු කරලා පොඩි ඡේදයක් වගේ එකක් එහෙම හදන්න එනවා
audio/audio_0117_chunk_0035.flac	6.17	ඉතින් ඒ වගේ අවස්ථාවකදී ඒකට තියෙන මූලික අඩිතාලම ෆවුන්ඩේෂන් එක විදිහට සලකන්නේ එසේ රයිටින්
audio/audio_0117_chunk_0036.flac	10.65	පොඩි කාලේ ඉඳන් ඉස්කෝලේ එසේ ලියලා ලියලා බලාපොරොත්තු වෙන්නේ අනාගතයේ යම් දවසක ඔන්න ඔය කියන ඩොකියුමන්ට් හදන්න රිසර්ච් රිපෝට් හදන්න ඔයාට අවශ්‍ය මූලික ස්කිල් එක හදන එක
audio/audio_0117_chunk_0039.flac	6.01	ඒකට හේතු ගොඩක් තියෙනවා දැන් ටියුෂන් පන්තියක් වගේ නම් ඇත්තටම කරන්න වෙලාවක් නැහැ උගන්වන්න අමාරුයි
audio/audio_0117_chunk_0040.flac	5.6 	පැය දෙකක් වගේ කරන්නේ මාත් පැය දෙකක් උගන්වන්නේ නෝට් එක ළමයාට ලියන්න දෙනවා පැයක් ඉතුරු පැය උගන්වනවා
audio/audio_0117_chunk_0041.flac	5.76	කරන්න අමාරුයි ඉස්කෝලේ විනාඩි හතළිහයි පීරියඩ් එක ඒ කාලය ඇතුළත ඇත්තටම කරන්න අමාරුයි
audio/audio_0117_chunk_0045.flac	4.09	අද කෙසේ රයිඩින් පාර්ට් එක මං කියලා දෙනවා මුල ඉඳන්
audio/audio_0117_chunk_0046.flac	10.46	ලියන්නේ කොහොමද ලියන්නේ මොනවද සහ ලියන විදිය ඔයාගේ ඔය ඔලුවේ ඇතුලේ තියෙන අයිඩියා එක සිංහලෙන් ඔයා හිතන එක හෝ දෙමලෙන් මොකක් හෝ භාෂාවෙන් ඔයා හිතන එක හරවගන්න බැරුව නම් ඉන්නේ
audio/audio_0117_chunk_0047.flac	4.86	අද කියලා දෙනවා ඒ කොහොමද හරවලා හරියට එසේ එක ලියන්නේ කියලා
audio/audio_0117_chunk_0048.flac	9.76	ඊට කලින් මතක් කරන්න ඕන අද තමයි අ මේ වගේ ෆ්‍රී කරන අන්තිම දවස මොකද මම ඔන්ලයින් අ පන්ති කරන පළවෙනි බැච් එක තමයි ඔයගොල්ලෝ පළවෙනි කණ්ඩායම
