path	duration	sentence
audio/audio_0078_chunk_0002.flac	20.06	සමහර දේන්නේ මේ තුවක්කු හදන්න නෙමෙයි නමුත් මේ සංකල්ප තුළ අපිට ඉගෙන ගන්න තියෙන දේවල් මහා විශාල ප්‍රමාණයක් තියෙනවා මේ මිනිස්සු කොහොමද නිර්මාණශීලීව දේවල් හිතුවේ කල්පනා කළේ සහ ඒවා ගොඩනැගුවේ කියන ඒ පද්ධතියෙන් ගොඩනැගුවේ කියන කතාව ඉතින් අද ඔබට අරන් එන්නේ තුවක්කුවේ කතාවේ දෙවැනි කොටස
audio/audio_0078_chunk_0007.flac	22.49	ඉතින් ඔය විදිහට මහා ප්‍රශ්න රාශියක් මේ පළවෙනි හෑන්ඩ් කැනන්ස් වල තිබුණා ඒක නිසා මිනිස්සුන්ට උවමනා වුණා මීට වඩා පහසු හොඳ ක්‍රමවේදයක් අරගෙන එන්න ඉතින් දිගින් දිගටම දිගින් දිගටම මේ පිළිබඳ පරීක්ෂණ කරා මිනිස්සු විවිධ අත්හදා බැලීම් සහ දියුණු කිරීම් කරා සාමාන්‍යයෙන් පහළොස්වෙනි වගේ සියවස වගේ වෙනකොට ඔන්න
audio/audio_0078_chunk_0008.flac	9.69	ඔන්න දැන් මේ කාලේ තමයි ආ ඔයගොල්ලන්ට තේරෙනවා අපිට පළවෙනි ලංකාවට පළවෙනි ආ මේ විදේශ ආක්‍රමණ එන්න පටන් ගන්නේ ආ
audio/audio_0078_chunk_0009.flac	10.81	දාසය පහළව සතවර්ෂ වගේ වෙනකොට මූලික මේවා ගැටීම් ඇති වෙන්න පටන් ගන්නේ ඔන්න ඒ කාලේ වගේ වෙනකොට මිනිස්සු හැදුවා කියනවා මැච් ලොක් කියලා ගිනි අවුල
audio/audio_0078_chunk_0010.flac	3.00	මැච් ලොක් කියලා කියන්නේ මැච් කියන්නේ ගිනිකූර කියන එකනේ
audio/audio_0078_chunk_0012.flac	8.60	දැන් මිනිස්සු අතින් අරගෙන තිරයකින් අර ඇසට මේ තුවක්කුවේ ඇහැට ගිනි තියෙනවා වෙනුවට බොහෝම සරල ක්‍රමවේදයක් මිනිස්සු ගෙනවා ඒක තමයි
audio/audio_0078_chunk_0013.flac	12.19	තුවක්කුවක් ගන්නවා සාමාන්‍ය තුවක්කුවක් අර කලින් වගේ හෑන්ඩ් කැනන් එකක් වගේ මහා බර විදිහට හදන්නේ නෑ පොඩි මේ ගන් එකක් හදනවා සාමාන්‍ය ප්‍රමාණයක් ප්‍රමාණයෙන් කුඩා ටිකක් මේක
audio/audio_0078_chunk_0014.flac	4.28	ඒ වගේම මෙහෙට සම්බන්ධ කරනවා ට්‍රිගර් එකක් ට්‍රිගර් එකක් කියන්නේ කොකක්
audio/audio_0078_chunk_0015.flac	10.49	මේ කොකා සම්බන්ධ කරනවා මේ කොකා කොහොමද ඒකට ඒ කොකා සහ බැඳිලා තියෙනවා මේ අර මේ අර කියපු තිරේ ආ මැච් එක ඒ තිරේ බැඳිලා තියෙනවා
audio/audio_0078_chunk_0016.flac	4.54    එතකොට මේ අපි කොකා ගස්සනකොට මොකද වෙන්නේ එක පාර අර තිරය ඇවිල්ලා	එතකොට මේ අපි කොකා ගස්සනකොට මොකද වෙන්නේ එක පාර අර තිරේ ඇවිල්ලා
audio/audio_0078_chunk_0017.flac	5.37	වදිනවා අර පුංචි මේ මේ අපි කියනවා අර ඇසට එහෙම නැත්නම් පෑන් එකට
audio/audio_0078_chunk_0018.flac	23.74	ඉතින් කලින්ම තිබුණූ මේ හෑන්ඩ් කැනන්ස් වල තිබුණේ ඒ සිලින්ඩරේ උඩින්ම නේ බෝර එක හදලා තිබුණේ ඒ කියන්නේ සිදුරු හදලා තිබුණේ එහෙම නෙවෙයි මිනිස්සු මොකද කරේ මේක ඉතාම ඊට වඩා හොඳ සහ පහසු සහ මේ නිරවද්‍ය ක්‍රමවේදයක් විදිහට අර සිලින්ඩර් එකේ පැත්තකින් පෑන් එකක් හැදුවා ඒ කියන්නේ මේ අපි කියනවා පුංචි මේ කප් එකක් වගේ පුංචි මේ ඒ වෙඩි බෙහෙත් රඳවගන්න පොඩි කොටසක් පෑන් එකක්
audio/audio_0078_chunk_0020.flac	6.78	ඉතින් ඒවට සාමාන්‍යයෙන් මිනිත්තුවකට උපරිම කාර්යක්ෂමතාවය යටතේ මිනිත්තුවකට තුන් පාරක් තුන් පාරක්
audio/audio_0078_chunk_0021.flac	3.64	වෙඩි තියන්න පුළුවන් කියන මට්ටමකට මැච් ලොක් එක ගෙනාවයි කියලා කියනවා
audio/audio_0078_chunk_0022.flac	28.89	ඉතින් මේකෙ තියෙන වාසිය තමයි අර ඉලක්ක ගැනීමට සොල්දාදුවට හොඳ අවස්ථාවක් ලැබෙනවා තමුන්ට තනියෙන් මේක භාවිතා කරන්න පුළුවන් ෆයර් කැලොන් එක හෑන්ඩ් කැනන් එක වගේ නෙමෙයි ඒ වගේම මේක මේ හොඳ වෙපන් සිස්ටම් එකක් විදිහට එයාට භාවිතා කරන්න පුළුවන් මේකට ඉදිරියට බයිනෙත්තුවක් වුණත් සම්බන්ධ කරන්න හැකියාව තියෙනවා එතකොට ළඟට එනකොට එතනත් ප්‍රොටෙක්ෂන් එකක් තියෙනවා ඉතින් ඔය විදිහට දිගින් දිගටම ඇත්තටම පළවෙනි විදේශීය ආක්‍රමණිකයන් රුතුගීසි කාලේ ලංකාවට එනකොට පළවෙනියටම අරගෙන ආවේ මැච් ලොක් තුවක්
audio/audio_0078_chunk_0023.flac	25.40	ආ ඒ විතරක් නෙමෙයි සිංහල මිනිස්සු පළවෙනියටම යුද්ධ කළේ මැච්ලොක් එක දිගටම තිබුණා බොහොම පහසුයිනේ ඕන කෙනෙක්ට හදන්න පුළුවන් ඉතින් මේ ඒ කියන්නේ කියනවා ඔය සුදු ඒ කියන්නේ එංගලන්තකාරයොත් එක්ක යුද්ධ කරන කාලේ වෙනකන්ම පවා මැච්ලොක් ලංකාවේ මිනිස්සුත් හදහද පාවිච්චි කරකර ඒ යුද්ධ කටයුතුවලට පාවිච්චි කළා කියලා ඉතින් ඉතාම වර්සටයිල් ඉතාම හොඳ වෙපන් සිස්ටම් එකක් විදිහට මැච්ලොක් එක ඉදිරියට ආවා
audio/audio_0078_chunk_0024.flac	25.12	නමුත් මෙහිත් ගැටලු තියෙනවා යුද්ධ කරන්නේ මිනිස්සු එක දිගට මේව කරගෙන ඉන්නවා නෙමෙයි හරි යුද්ධ කරනකොට වහිනවා ආ මඩ තියෙනවා මඩ ගෝරු අතර තියෙනවා එතකොට උදේ රෑ මේ මිනිස්සු යුද්ධ කරන්න ඕනේ සටනන් වලට එන්න එතෙන්ට තියෙනවා එතකොට මේක අපිට මේ සීරුයෙන් මේක කරගෙන බොහොම සීරුයෙන් මේ තුවක්කුව ගැන කල්පනා කරගෙන යුද්ධ කරන්න බෑ එතකොට මොකද වෙන්නේ
audio/audio_0078_chunk_0025.flac	6.94	මේ සමහර වෙලාවලට මේ මැච් ලොක් එක හිතන්නකෝ වැස්ස වැහැලා තීරේ තෙමුණා එතකොට ගිනි තියාගන්න බැහැ
audio/audio_0078_chunk_0026.flac	25.60	හරි ඒ වගේම අර පෑන් එකට වතුර ගියා ඊටපස්සේ ඇතුළ ශුද්ධ කරගෙන මේ වෙඩි තියාගන්න බැහැ ඊටපස්සේ මේ රාත්‍රී කාලයේ මැච් ලොක් එක දල්වගෙන ඉන්නකොට මොකද වෙන්නේ මිනිස්සුන්ට පේනවා ඈත ඉඳලා මේ සතුරෝ ඉන්නවා බව අර පුංචි අර ගිනි පුළිඟු වල මේකෙන් පේනවා ඉතින් මේ වගේ ප්‍රශ්න දිගින් දිගටම තිබුණා එහෙනම් අවශ්‍ය වුණා මිනිස්සුන්ට පසුකාලීනව ගොඩනගන්න මැච් ලොක් එක වෙනුවට
audio/audio_0078_chunk_0029.flac	10.49	මේ ෆ්ලින්ට් ලොක් කියලා කියන්නේ ඇත්තටම මැච් ලොක් එකෙන් පස්සේ පසුකාලීනව ගොඩනැගෙන ඊළඟ වෙපන් සිස්ටම් එක ෆයර් ආම්බුවල බහුල වශයෙන්ම භාවිතා කරපු ක්‍රමවේදය
